,ticker,stkpx,expirdate,yte,strike,transact_date,transact_pbidpx,transact_pvalue,transact_paskpx,pbidpx,pvalue,paskpx,delta,gamma,theta,vega,rho,phi,trade_date,PeriodPnL,TotalPnL,Loss100,LossDate,MinLossDate,stopLoss
95,AAPL,111.12,2016-05-20,0.12603,105.0,2016-04-04,2.03,2.07,2.06,2.03,2.07,2.06,0.7202569999999999,0.030048000000000002,-0.04541,0.129834,0.090762,-0.100356,2016-04-04,0.0,0.0,False,,2016-04-27,False
96,AAPL,109.69,2016-05-20,0.12329000000000001,105.0,2016-04-04,2.03,2.07,2.06,2.47,2.5,2.49,0.675719,0.032521,-0.048501,0.13994700000000002,0.082715,-0.090912,2016-04-05,-0.43000000000000016,-0.43000000000000016,False,,2016-04-27,False
97,AAPL,110.88,2016-05-20,0.12055,105.0,2016-04-04,2.03,2.07,2.06,2.12,2.15,2.14,0.7114,0.030491000000000004,-0.047466,0.133648,0.085634,-0.094606,2016-04-06,-0.08000000000000007,-0.5100000000000002,False,,2016-04-27,False
98,AAPL,108.49,2016-05-20,0.11780999999999998,105.0,2016-04-04,2.03,2.07,2.06,3.05,3.02,3.1,0.632618,0.033705,-0.05275,0.140731,0.073421,-0.08043600000000001,2016-04-07,-0.9500000000000002,-1.4600000000000004,False,,2016-04-27,False
99,AAPL,108.6,2016-05-20,0.11507,105.0,2016-04-04,2.03,2.07,2.06,2.81,2.84,2.83,0.639674,0.034579,-0.052287,0.139035,0.072741,-0.079523,2016-04-08,-0.77,-2.2300000000000004,False,,2016-04-27,False
100,AAPL,109.26,2016-05-20,0.10685,105.0,2016-04-04,2.03,2.07,2.06,2.45,2.36,2.46,0.669307,0.035591000000000005,-0.051448,0.130227,0.071276,-0.077736,2016-04-11,-0.29000000000000004,-2.5200000000000005,False,,2016-04-27,False
101,AAPL,110.38,2016-05-20,0.10411,105.0,2016-04-04,2.03,2.07,2.06,2.01,2.2,2.02,0.699679,0.032116000000000006,-0.053795,0.12404200000000001,0.072719,-0.079996,2016-04-12,-0.13000000000000034,-2.650000000000001,False,,2016-04-27,False
102,AAPL,111.92,2016-05-20,0.10137,105.0,2016-04-04,2.03,2.07,2.06,1.6,2.0,1.62,0.7355729999999999,0.028,-0.056059000000000005,0.11712,0.074603,-0.08303300000000001,2016-04-13,0.06999999999999984,-2.580000000000001,False,,2016-04-27,False
103,AAPL,112.02,2016-05-20,0.09863,105.0,2016-04-04,2.03,2.07,2.06,1.48,1.65,1.49,0.754221,0.029493000000000002,-0.050959,0.108801,0.07498099999999999,-0.082913,2016-04-14,0.41999999999999993,-2.160000000000001,False,,2016-04-27,False
104,AAPL,109.82,2016-05-20,0.09589,105.0,2016-04-04,2.03,2.07,2.06,2.05,2.16,2.08,0.690756,0.034328,-0.057659,0.118315,0.06615499999999999,-0.07237,2016-04-15,-0.0900000000000003,-2.2500000000000013,False,,2016-04-27,False
105,AAPL,107.62,2016-05-20,0.08767,105.0,2016-04-04,2.03,2.07,2.06,2.75,2.79,2.79,0.611658,0.039858,-0.062251,0.120976,0.05313300000000001,-0.057408,2016-04-18,-0.7200000000000002,-2.9700000000000015,False,,2016-04-27,False
106,AAPL,106.84,2016-05-20,0.08492999999999999,105.0,2016-04-04,2.03,2.07,2.06,2.93,2.94,2.96,0.582018,0.042817,-0.061762,0.121251,0.048921,-0.052536,2016-04-19,-0.8700000000000001,-3.8400000000000016,False,,2016-04-27,False
107,AAPL,107.34,2016-05-20,0.08219,105.0,2016-04-04,2.03,2.07,2.06,2.47,2.43,2.5,0.608771,0.046103,-0.057588,0.117029,0.049967000000000004,-0.053426,2016-04-20,-0.3600000000000003,-4.200000000000002,False,,2016-04-27,False
108,AAPL,105.96,2016-05-20,0.07945,105.0,2016-04-04,2.03,2.07,2.06,3.1,2.95,3.15,0.5442600000000001,0.049227999999999994,-0.059047,0.118224,0.042893,-0.045576,2016-04-21,-0.8800000000000003,-5.080000000000002,False,,2016-04-27,False
109,AAPL,105.64,2016-05-20,0.07671,105.0,2016-04-04,2.03,2.07,2.06,3.05,3.07,3.1,0.52936,0.049861,-0.061034000000000005,0.11608399999999999,0.040218000000000004,-0.042672,2016-04-22,-1.0,-6.080000000000002,False,,2016-04-27,False
110,AAPL,104.91,2016-05-20,0.06849,105.0,2016-04-04,2.03,2.07,2.06,3.4,3.33,3.45,0.491854,0.051858,-0.06589099999999999,0.10955799999999999,0.033264,-0.035155,2016-04-25,-1.2600000000000002,-7.340000000000002,False,,2016-04-27,False
111,AAPL,104.18,2016-05-20,0.06575,105.0,2016-04-04,2.03,2.07,2.06,3.85,3.84,3.95,0.45656800000000003,0.049994,-0.069801,0.10613099999999999,0.029434,-0.031107999999999997,2016-04-26,-1.77,-9.110000000000001,False,,2016-04-27,False
164,AAPL,100.24,2016-07-15,0.13425,97.5,2016-05-27,1.78,1.79,1.79,1.78,1.79,1.79,0.661308,0.048186,-0.029830000000000002,0.13531600000000002,0.08277999999999999,-0.088996,2016-05-27,0.0,-9.110000000000001,False,,2016-06-27,False
165,AAPL,99.8,2016-07-15,0.12329000000000001,97.5,2016-05-27,1.78,1.79,1.79,1.78,1.8,1.8,0.645307,0.051976999999999995,-0.031077999999999998,0.129499,0.074239,-0.079404,2016-05-31,-0.010000000000000009,-9.120000000000001,False,,2016-06-27,False
166,AAPL,98.34,2016-07-15,0.12055,97.5,2016-05-27,1.78,1.79,1.79,2.33,2.33,2.34,0.567405,0.05665800000000001,-0.032398,0.133919,0.063338,-0.067268,2016-06-01,-0.54,-9.66,False,,2016-06-27,False
167,AAPL,97.61,2016-07-15,0.11780999999999998,97.5,2016-05-27,1.78,1.79,1.79,2.61,2.81,2.63,0.525517,0.054996,-0.034839999999999996,0.133395,0.0569,-0.06043099999999999,2016-06-02,-1.02,-10.68,False,,2016-06-27,False
168,AAPL,97.99,2016-07-15,0.11507,97.5,2016-05-27,1.78,1.79,1.79,2.33,2.33,2.34,0.5471239999999999,0.061006,-0.031658,0.13206099999999998,0.05837899999999999,-0.06169500000000001,2016-06-03,-0.54,-11.219999999999999,False,,2016-06-27,False
169,AAPL,98.77,2016-07-15,0.10685,97.5,2016-05-27,1.78,1.79,1.79,1.89,1.9,1.9,0.597708,0.061324000000000004,-0.03284,0.12375599999999999,0.059614,-0.063084,2016-06-06,-0.10999999999999988,-11.329999999999998,False,,2016-06-27,False
170,AAPL,98.98,2016-07-15,0.10411,97.5,2016-05-27,1.78,1.79,1.79,1.75,1.76,1.77,0.6111260000000001,0.062077,-0.032434,0.12230799999999999,0.059536,-0.062976,2016-06-07,0.030000000000000027,-11.299999999999999,False,,2016-06-27,False
171,AAPL,98.8,2016-07-15,0.10137,97.5,2016-05-27,1.78,1.79,1.79,1.71,1.71,1.72,0.604889,0.065611,-0.032074,0.12052,0.057451999999999996,-0.060586,2016-06-08,0.08000000000000007,-11.219999999999999,False,,2016-06-27,False
172,AAPL,99.68,2016-07-15,0.09863,97.5,2016-05-27,1.78,1.79,1.79,1.39,1.4,1.41,0.6593939999999999,0.061736,-0.031604,0.11581,0.061239,-0.064833,2016-06-09,0.3900000000000001,-10.829999999999998,False,,2016-06-27,False
173,AAPL,98.85,2016-07-15,0.09589,97.5,2016-05-27,1.78,1.79,1.79,1.85,1.86,1.86,0.6022270000000001,0.061360000000000005,-0.036153,0.117317,0.05394500000000001,-0.057088,2016-06-10,-0.07000000000000006,-10.899999999999999,False,,2016-06-27,False
174,AAPL,97.27,2016-07-15,0.08767,97.5,2016-05-27,1.78,1.79,1.79,2.55,2.56,2.57,0.501008,0.064802,-0.039397,0.11498599999999999,0.040643,-0.042730000000000004,2016-06-13,-0.77,-11.669999999999998,False,,2016-06-27,False
175,AAPL,97.43,2016-07-15,0.08492999999999999,97.5,2016-05-27,1.78,1.79,1.79,2.46,2.46,2.47,0.511993,0.065134,-0.040763,0.113232,0.040288,-0.042368,2016-06-14,-0.6699999999999999,-12.339999999999998,False,,2016-06-27,False
176,AAPL,97.12,2016-07-15,0.08219,97.5,2016-05-27,1.78,1.79,1.79,2.49,2.5,2.51,0.490313,0.06865800000000001,-0.039891,0.11128699999999998,0.037353,-0.039143,2016-06-15,-0.71,-13.049999999999997,False,,2016-06-27,False
177,AAPL,97.62,2016-07-15,0.07945,97.5,2016-05-27,1.78,1.79,1.79,2.19,2.2,2.21,0.523386,0.070053,-0.040186,0.109615,0.038721,-0.040598,2016-06-16,-0.41000000000000014,-13.459999999999997,False,,2016-06-27,False
178,AAPL,95.35,2016-07-15,0.07671,97.5,2016-05-27,1.78,1.79,1.79,3.45,3.39,3.5,0.360265,0.069614,-0.0368,0.100643,0.025368,-0.026354000000000002,2016-06-17,-1.6,-15.059999999999997,False,,2016-06-27,False
179,AAPL,95.12,2016-07-15,0.06849,97.5,2016-05-27,1.78,1.79,1.79,3.35,3.34,3.45,0.324979,0.074923,-0.035407999999999995,0.091389,0.020491,-0.021175,2016-06-20,-1.5499999999999998,-16.609999999999996,False,,2016-06-27,False
180,AAPL,95.99,2016-07-15,0.06575,97.5,2016-05-27,1.78,1.79,1.79,2.71,2.66,2.73,0.383537,0.08424,-0.037004,0.09349199999999999,0.023428,-0.02421,2016-06-21,-0.8700000000000001,-17.479999999999997,False,,2016-06-27,False
181,AAPL,95.54,2016-07-15,0.06301,97.5,2016-05-27,1.78,1.79,1.79,3.05,3.02,3.1,0.35259,0.07906,-0.038938,0.087826,0.020538999999999998,-0.021228999999999998,2016-06-22,-1.23,-18.709999999999997,False,,2016-06-27,False
182,AAPL,95.93,2016-07-15,0.060270000000000004,97.5,2016-05-27,1.78,1.79,1.79,2.6,2.48,2.63,0.35904899999999995,0.09454800000000001,-0.034578,0.08959400000000001,0.020191,-0.020763,2016-06-23,-0.69,-19.4,False,,2016-06-27,False
183,AAPL,93.67,2016-07-15,0.05753,97.5,2016-05-27,1.78,1.79,1.79,4.25,4.34,4.4,0.216273,0.064263,-0.032618,0.064532,0.011337999999999999,-0.011656999999999999,2016-06-24,-2.55,-21.95,False,,2016-06-27,False
185,AAPL,93.6,2016-07-15,0.04658,97.5,2016-05-27,1.78,1.79,1.79,4.05,4.16,4.25,0.15066300000000002,0.064961,-0.025125,0.047957,0.00644,-0.006569,2016-06-28,-2.37,-24.32,False,,2016-06-27,False
186,AAPL,94.43,2016-07-15,0.04384,97.5,2016-05-27,1.78,1.79,1.79,3.35,3.39,3.45,0.188065,0.081227,-0.028399,0.051487,0.0076370000000000006,-0.0077859999999999995,2016-06-29,-1.6,-25.92,False,,2016-06-27,False
187,AAPL,95.47,2016-07-15,0.0411,97.5,2016-05-27,1.78,1.79,1.79,2.45,2.47,2.48,0.25661300000000004,0.108492,-0.032389999999999995,0.06356,0.009883,-0.01007,2016-06-30,-0.6800000000000002,-26.6,False,,2016-06-27,False
188,AAPL,96.07,2016-07-15,0.038360000000000005,97.5,2016-05-27,1.78,1.79,1.79,1.94,1.95,1.95,0.304213,0.130025,-0.033948,0.065197,0.011013,-0.011212,2016-07-01,-0.15999999999999992,-26.76,False,,2016-06-27,False
189,AAPL,94.97,2016-07-15,0.0274,97.5,2016-05-27,1.78,1.79,1.79,2.74,2.76,2.78,0.17389200000000002,0.09866799999999999,-0.033821,0.040826,0.00446,-0.004526,2016-07-05,-0.9699999999999998,-27.73,False,,2016-06-27,False
190,AAPL,95.5,2016-07-15,0.024659999999999998,97.5,2016-05-27,1.78,1.79,1.79,2.26,2.27,2.28,0.211076,0.120249,-0.039227,0.04249,0.004901,-0.004972,2016-07-06,-0.48,-28.21,False,,2016-06-27,False
191,AAPL,95.9,2016-07-15,0.02192,97.5,2016-05-27,1.78,1.79,1.79,1.92,1.92,1.95,0.249629,0.13936700000000002,-0.046106,0.046592,0.005175,-0.005249,2016-07-07,-0.1299999999999999,-28.34,False,,2016-06-27,False
192,AAPL,96.68,2016-07-15,0.019180000000000003,97.5,2016-05-27,1.78,1.79,1.79,1.22,1.22,1.23,0.336821,0.195913,-0.049476,0.048701999999999995,0.006168,-0.006248,2016-07-08,0.5700000000000001,-27.77,False,,2016-06-27,False
193,AAPL,97.03,2016-07-15,0.01096,97.5,2016-05-27,1.78,1.79,1.79,0.95,0.96,0.96,0.39876100000000003,0.221877,-0.085082,0.039473,0.004189,-0.004243,2016-07-11,0.8300000000000001,-26.939999999999998,False,,2016-06-27,False
194,AAPL,97.38,2016-07-15,0.00822,97.5,2016-05-27,1.78,1.79,1.79,0.6,0.6,0.61,0.465567,0.29777800000000004,-0.089164,0.035256,0.003439,-0.0034729999999999995,2016-07-12,1.19,-25.749999999999996,False,,2016-06-27,False
195,AAPL,96.93,2016-07-15,0.00548,97.5,2016-05-27,1.78,1.79,1.79,0.83,0.83,0.85,0.32423,0.293747,-0.11083399999999999,0.026021,0.0017100000000000001,-0.0017239999999999998,2016-07-13,0.9600000000000001,-24.789999999999996,False,,2016-06-27,False
196,AAPL,98.93,2016-07-15,0.00274,97.5,2016-05-27,1.78,1.79,1.79,0.07,0.06,0.08,0.892877,0.160342,-0.103926,0.009439,0.001678,-0.001704,2016-07-14,1.73,-23.059999999999995,False,,2016-06-27,False
197,AAPL,98.71,2016-07-15,0.0,97.5,2016-05-27,1.78,1.79,1.79,0.01,0.0,0.01,1.0,0.0,-0.000721,0.0,7.000000000000001e-06,-8e-06,2016-07-15,1.79,-21.269999999999996,False,,2016-06-27,False
551,AAPL,155.48,2017-07-21,0.12055,150.0,2017-06-07,1.52,1.53,1.54,1.52,1.53,1.54,0.741866,0.034177,-0.039594,0.17869300000000002,0.13029200000000002,-0.139075,2017-06-07,0.0,-21.269999999999996,False,,2017-06-09,False
552,AAPL,155.0,2017-07-21,0.11780999999999998,150.0,2017-06-07,1.52,1.53,1.54,1.59,1.84,1.6,0.715705,0.034073,-0.044072,0.176958,0.122339,-0.130719,2017-06-08,-0.31000000000000005,-21.579999999999995,False,,2017-06-09,False
575,AAPL,146.04,2017-07-21,0.024659999999999998,150.0,2017-06-07,1.52,1.53,1.54,4.15,4.19,4.3,0.138854,0.062669,-0.044159,0.048559,0.004944,-0.005005,2017-07-12,-2.66,-24.239999999999995,False,,2017-06-09,False
576,AAPL,147.9,2017-07-21,0.02192,150.0,2017-06-07,1.52,1.53,1.54,2.74,2.76,2.76,0.29961,0.09246599999999999,-0.084177,0.076449,0.009569,-0.009724,2017-07-13,-1.2299999999999998,-25.469999999999995,False,,2017-06-09,False
577,AAPL,149.26,2017-07-21,0.019180000000000003,150.0,2017-06-07,1.52,1.53,1.54,1.68,1.72,1.69,0.422353,0.117427,-0.096539,0.08051599999999999,0.011911,-0.012107,2017-07-14,-0.18999999999999995,-25.659999999999997,False,,2017-06-09,False
578,AAPL,149.74,2017-07-21,0.01096,150.0,2017-06-07,1.52,1.53,1.54,1.33,1.34,1.35,0.475738,0.13056099999999998,-0.157744,0.062722,0.007703,-0.007826000000000001,2017-07-17,0.18999999999999995,-25.469999999999995,False,,2017-06-09,False
579,AAPL,149.93,2017-07-21,0.00822,150.0,2017-06-07,1.52,1.53,1.54,1.08,1.15,1.09,0.496918,0.14286400000000002,-0.19099000000000002,0.054331,0.006053,-0.006143,2017-07-18,0.3800000000000001,-25.089999999999996,False,,2017-06-09,False
580,AAPL,150.96,2017-07-21,0.00548,150.0,2017-06-07,1.52,1.53,1.54,0.33,0.34,0.34,0.705947,0.193142,-0.152583,0.038419999999999996,0.004932,-0.004987,2017-07-19,1.19,-23.899999999999995,False,,2017-06-09,False
581,AAPL,150.81,2017-07-21,0.00274,150.0,2017-06-07,1.52,1.53,1.54,0.21,0.21,0.22,0.7346729999999999,0.24886399999999997,-0.22466799999999998,0.025466,0.003036,-0.003065,2017-07-20,1.32,-22.579999999999995,False,,2017-06-09,False
582,AAPL,150.15,2017-07-21,0.0,150.0,2017-06-07,1.52,1.53,1.54,0.02,0.02,0.03,0.781505,1.529752,-2.9447970000000003,0.00234,2.9999999999999997e-05,-2.9999999999999997e-05,2017-07-21,1.51,-21.069999999999993,False,,2017-06-09,False
804,AAPL,175.01,2018-02-16,0.11507,170.0,2018-01-05,3.5,3.16,3.55,3.5,3.16,3.55,0.661,0.027578,-0.066902,0.21621300000000002,0.123708,-0.13263599999999998,2018-01-05,0.0,-21.069999999999993,False,,2018-02-02,False
805,AAPL,174.3,2018-02-16,0.10685,170.0,2018-01-05,3.5,3.16,3.55,3.6,3.62,3.65,0.637837,0.027132999999999997,-0.07646499999999999,0.21472199999999997,0.110273,-0.11836600000000001,2018-01-08,-0.45999999999999996,-21.529999999999994,False,,2018-02-02,False
806,AAPL,174.45,2018-02-16,0.10411,170.0,2018-01-05,3.5,3.16,3.55,3.4,3.18,3.5,0.649112,0.029061,-0.071987,0.205591,0.109954,-0.117467,2018-01-09,-0.020000000000000018,-21.549999999999994,False,,2018-02-02,False
807,AAPL,174.11,2018-02-16,0.10137,170.0,2018-01-05,3.5,3.16,3.55,3.5,4.18,3.6,0.623476,0.025240000000000002,-0.08678200000000001,0.20975,0.101637,-0.10964700000000001,2018-01-10,-1.0199999999999996,-22.569999999999993,False,,2018-02-02,False
808,AAPL,175.23,2018-02-16,0.09863,170.0,2018-01-05,3.5,3.16,3.55,2.93,2.72,2.97,0.676816,0.029334,-0.071064,0.199935,0.109153,-0.116559,2018-01-11,0.43999999999999995,-22.129999999999992,False,,2018-02-02,False
809,AAPL,176.84,2018-02-16,0.09589,170.0,2018-01-05,3.5,3.16,3.55,2.53,3.19,2.56,0.6907,0.023265,-0.087615,0.190404,0.10748900000000002,-0.11671199999999998,2018-01-12,-0.029999999999999805,-22.159999999999993,False,,2018-02-02,False
810,AAPL,176.45,2018-02-16,0.08492999999999999,170.0,2018-01-05,3.5,3.16,3.55,2.8,2.84,2.83,0.693588,0.025566,-0.088942,0.17908,0.096085,-0.103577,2018-01-16,0.3200000000000003,-21.839999999999993,False,,2018-02-02,False
811,AAPL,179.06,2018-02-16,0.08219,170.0,2018-01-05,3.5,3.16,3.55,2.28,2.2,2.3,0.7527149999999999,0.022223,-0.08784299999999999,0.158021,0.10153,-0.11039500000000001,2018-01-17,0.96,-20.879999999999992,False,,2018-02-02,False
812,AAPL,179.23,2018-02-16,0.07945,170.0,2018-01-05,3.5,3.16,3.55,2.14,2.7,2.18,0.7354539999999999,0.020617,-0.10166,0.165883,0.09527999999999999,-0.104368,2018-01-18,0.45999999999999996,-20.41999999999999,False,,2018-02-02,False
813,AAPL,178.26,2018-02-16,0.07671,170.0,2018-01-05,3.5,3.16,3.55,2.11,2.15,2.14,0.7448899999999999,0.024059,-0.089786,0.16173099999999999,0.09388300000000001,-0.101508,2018-01-19,1.0100000000000002,-19.40999999999999,False,,2018-02-02,False
814,AAPL,177.0,2018-02-16,0.06849,170.0,2018-01-05,3.5,3.16,3.55,2.29,2.23,2.32,0.72128,0.027139,-0.09335800000000001,0.153525,0.081248,-0.087166,2018-01-22,0.9300000000000002,-18.47999999999999,False,,2018-02-02,False
815,AAPL,176.98,2018-02-16,0.06575,170.0,2018-01-05,3.5,3.16,3.55,2.24,2.16,2.27,0.7265199999999999,0.027187,-0.099758,0.14926099999999998,0.078541,-0.084248,2018-01-23,1.0,-17.47999999999999,False,,2018-02-02,False
816,AAPL,174.22,2018-02-16,0.06301,170.0,2018-01-05,3.5,3.16,3.55,3.2,3.11,3.3,0.645551,0.030261,-0.11451300000000002,0.164748,0.066238,-0.07062,2018-01-24,0.050000000000000266,-17.42999999999999,False,,2018-02-02,False
817,AAPL,171.24,2018-02-16,0.060270000000000004,170.0,2018-01-05,3.5,3.16,3.55,4.55,4.47,4.65,0.5490470000000001,0.031908,-0.123543,0.16643,0.053266999999999995,-0.056464,2018-01-25,-1.3099999999999996,-18.739999999999988,False,,2018-02-02,False
818,AAPL,171.31,2018-02-16,0.05753,170.0,2018-01-05,3.5,3.16,3.55,4.45,4.33,4.55,0.551266,0.032572000000000004,-0.126547,0.162604,0.051126,-0.054138,2018-01-26,-1.17,-19.90999999999999,False,,2018-02-02,False
